Space name,Source Type,Package Name,Package Version,Ecosystem,Vulnerability ID,Severity,Aliases,Cwe_Ids,Severity_score,Group IDs,Experimental Analysis
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-pqhm-4wvf-2jg8,MODERATE,"BIT-tensorflow-2022-29201,CVE-2022-29201","CWE-20,CWE-476",CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,GHSA-pqhm-4wvf-2jg8,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-pqrv-8r2f-7278,MODERATE,"BIT-tensorflow-2022-23590,CVE-2022-23590,PYSEC-2022-154,PYSEC-2022-99",CWE-754,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,"PYSEC-2022-99,GHSA-pqrv-8r2f-7278",
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-prcg-wp5q-rv7p,MODERATE,"BIT-tensorflow-2021-41197,CVE-2021-41197,PYSEC-2021-390,PYSEC-2021-607,PYSEC-2021-805",CWE-190,CVSS:4.0/AV:L/AC:L/AT:N/PR:L/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N,"PYSEC-2021-607,GHSA-prcg-wp5q-rv7p",
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-pxrw-j2fv-hx3h,HIGH,"BIT-tensorflow-2022-35937,CVE-2022-35937",CWE-125,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:L/A:H,GHSA-pxrw-j2fv-hx3h,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-q2c3-jpmc-gfjx,MODERATE,"BIT-tensorflow-2022-35969,CVE-2022-35969",,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-q2c3-jpmc-gfjx,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-q5jv-m6qw-5g37,MODERATE,"BIT-tensorflow-2022-35996,CVE-2022-35996",CWE-369,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-q5jv-m6qw-5g37,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-q85f-69q7-55h2,HIGH,"BIT-tensorflow-2022-23573,CVE-2022-23573,PYSEC-2022-137,PYSEC-2022-82",CWE-908,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:L/VI:L/VA:H/SC:N/SI:N/SA:N,"PYSEC-2022-82,GHSA-q85f-69q7-55h2",
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-qj5r-f9mv-rffh,HIGH,"BIT-tensorflow-2022-23569,CVE-2022-23569,PYSEC-2022-133,PYSEC-2022-78",CWE-617,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N,"PYSEC-2022-78,GHSA-qj5r-f9mv-rffh",
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-qjqc-vqcf-5qvj,HIGH,"BIT-tensorflow-2023-25660,CVE-2023-25660",CWE-476,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-qjqc-vqcf-5qvj,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-qx3f-p745-w4hr,HIGH,"BIT-tensorflow-2022-23562,CVE-2022-23562,PYSEC-2022-126,PYSEC-2022-71",CWE-190,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:L/VI:L/VA:H/SC:N/SI:N/SA:N,"PYSEC-2022-71,GHSA-qx3f-p745-w4hr",
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-qxpx-j395-pw36,MODERATE,"BIT-tensorflow-2022-35965,CVE-2022-35965",CWE-476,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-qxpx-j395-pw36,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-r26c-679w-mrjm,MODERATE,"BIT-tensorflow-2022-36005,CVE-2022-36005",CWE-617,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-r26c-679w-mrjm,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-rc9w-5c64-9vqq,MODERATE,"BIT-tensorflow-2022-29206,CVE-2022-29206","CWE-20,CWE-476",CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,GHSA-rc9w-5c64-9vqq,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-rcf8-g8jv-vg6p,HIGH,"BIT-tensorflow-2023-25669,CVE-2023-25669",CWE-697,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-rcf8-g8jv-vg6p,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-rg3m-hqc5-344v,MODERATE,"BIT-tensorflow-2021-41224,CVE-2021-41224,PYSEC-2021-416,PYSEC-2021-633,PYSEC-2021-831",CWE-125,CVSS:4.0/AV:L/AC:L/AT:N/PR:L/UI:N/VC:H/VI:N/VA:H/SC:N/SI:N/SA:N,"PYSEC-2021-633,GHSA-rg3m-hqc5-344v",
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-rh87-q4vg-m45j,LOW,"BIT-tensorflow-2022-36015,CVE-2022-36015",CWE-190,,GHSA-rh87-q4vg-m45j,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-rjx6-v474-2ch9,MODERATE,"BIT-tensorflow-2022-41909,CVE-2022-41909","CWE-20,CWE-476",CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:U/C:N/I:N/A:H,GHSA-rjx6-v474-2ch9,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-rmg2-f698-wq35,MODERATE,"BIT-tensorflow-2022-41896,CVE-2022-41896","CWE-1284,CWE-20",CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:U/C:N/I:N/A:H,GHSA-rmg2-f698-wq35,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-rrfp-j2mp-hq9c,HIGH,"BIT-tensorflow-2020-15265,CVE-2020-15265,PYSEC-2020-138,PYSEC-2020-295,PYSEC-2020-330",CWE-125,CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:P/VC:N/VI:N/VA:H/SC:N/SI:N/SA:N,"PYSEC-2020-295,GHSA-rrfp-j2mp-hq9c",
